Product ID,Release,Product Position,section,terms,sku,name,description,Seasonal,Promotion,price,Sales Volume
179801,10/21/2023,Front of Store,MAN,jackets,311307255-800-2,CONTRASTING PATCHES BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,Yes,No,$169.00 ,2608
183243,7/1/2023,Front of Store,MAN,jackets,328250627-251-46,SUIT JACKET,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,No,Yes,$169.00 ,1524
177771,1/22/2023,End-cap,MAN,t-shirts,281883711-071-2,SUIT JACKET,Jacket with lightly padded interior. Corduroy lapel collar. Long sleeves. Patch pockets at hip. Front button closure.,Yes,Yes,$69.90 ,1764
171860,1/4/2023,Aisle,,t-shirts,323646471-802-2,PADDED DENIM JACKET,Slightly cropped denim jacket. Lapel collar and long sleeves with buttoned cuffs. Flap patch pocket at chest and side hip. Washed effect. Front button closure.,No,Yes,$109.00 ,707
166331,7/9/2023,Aisle,WOMAN,sweaters,324186867-642-2,ASYMMETRICAL WOOL AND SILK BLEND SWEATER,Wool and silk blend sweater. Asymmetric neckline and long sleeves.,Yes,Yes,$59.90 ,2877
166331,7/9/2023,Aisle,WOMAN,sweaters,324186867-642-2,ASYMMETRICAL WOOL AND SILK BLEND SWEATER,Wool and silk blend sweater. Asymmetric neckline and long sleeves.,Yes,Yes,$59.90 ,2877
,,,,,,,,,,,
178281,3/8/2024,End-cap,MAN,jackets,315758723-401-2,BOMBER JACKET,Varsity jacket. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front snap button closure.,Yes,No,$169.00 ,1145
155848,4/24/2023,End-cap,WOMAN,sweaters,324597432-800-2,MOCK NECK WOOL AND SILK BLEND KNIT TOP,Wool and silk blend top. High collar and long sleeves.,No,Yes,$49.90 ,1942
199233,1/15/2024,Aisle,MAN,jackets,330590505-500-2,CONTRASTING PATCHES BOMBER JACKET,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,No,Yes,$159.00 ,2222
181502,11/7/2023,Front of Store,WOMAN,sweaters,323175653-803-2,SOFT JEWEL SWEATER,Sweater made of soft touch fabric. Round neckline with jewel appliqués and long sleeves.,No,Yes,$39.90 ,2591
174708,3/5/2023,Front of Store,MAN,sweaters,317889153-700-3,ABSTRACT JACQUARD SWEATER,Full cut cotton knit sweater. Round neck and long sleeves. Rib trim.,Yes,No,$59.90 ,529
175059,8/19/2023,Aisle,MAN,jackets,311292572-401-2,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,No,Yes,$49.90 ,2170
